Year	Month	Day	Avg
2013	4	28	134.04
2013	4	29	140.745
2013	4	30	140.49
2013	5	1	123.80499999999999
2013	5	2	108.94
2013	5	3	93.615
2013	5	4	103.75
2013	5	5	112.97
2013	5	6	115.65
2013	5	7	105.57
2013	5	8	112.69
2013	5	9	111.36
2013	5	10	116.775
2013	5	11	115.845
2013	5	12	115.445
2013	5	13	116.6
2013	5	14	115.025
2013	5	15	109.655
2013	5	16	115.48
2013	5	17	120.935
2013	5	18	123.775
2013	5	19	122.035
2013	5	20	121.87
2013	5	21	122.10499999999999
2013	5	22	123.0
2013	5	23	125.015
2013	5	24	129.785
2013	5	25	131.06
2013	5	26	133.31
2013	5	27	130.085
2013	5	28	128.09
2013	5	29	130.125
2013	5	30	129.625
2013	5	31	128.15
2013	6	1	128.49
2013	6	2	122.225
2013	6	3	119.25
2013	6	4	121.47
2013	6	5	121.685
2013	6	6	120.175
2013	6	7	112.71000000000001
2013	6	8	109.36
2013	6	9	98.745
2013	6	10	102.55
2013	6	11	106.8
2013	6	12	109.26
2013	6	13	105.41499999999999
2013	6	14	101.35
2013	6	15	100.85
2013	6	16	100.275
2013	6	17	100.60499999999999
2013	6	18	106.07
2013	6	19	107.995
2013	6	20	110.9
2013	6	21	111.34
2013	6	22	108.735
2013	6	23	107.515
2013	6	24	104.655
2013	6	25	103.74000000000001
2013	6	26	104.14
2013	6	27	102.55
2013	6	28	97.035
2013	6	29	96.495
2013	6	30	96.17
2013	7	1	91.97999999999999
2013	7	2	89.905
2013	7	3	83.98
2013	7	4	77.555
2013	7	5	72.765
2013	7	6	70.91
2013	7	7	70.59
2013	7	8	76.3
2013	7	9	75.41
2013	7	10	81.6
2013	7	11	87.68
2013	7	12	96.08500000000001
2013	7	13	93.155
2013	7	14	95.78
2013	7	15	97.505
2013	7	16	98.0
2013	7	17	98.075
2013	7	18	92.5
2013	7	19	91.5
2013	7	20	91.185
2013	7	21	89.975
2013	7	22	91.03999999999999
2013	7	23	94.21
2013	7	24	94.495
2013	7	25	95.6
2013	7	26	96.735
2013	7	27	95.0
2013	7	28	97.28999999999999
2013	7	29	100.47999999999999
2013	7	30	104.22999999999999
2013	7	31	107.61
2013	8	1	105.505
2013	8	2	104.60499999999999
2013	8	3	103.89
2013	8	4	104.735
2013	8	5	106.38499999999999
2013	8	6	106.47
2013	8	7	106.75
2013	8	8	104.005
2013	8	9	103.845
2013	8	10	103.155
2013	8	11	103.975
2013	8	12	105.75
2013	8	13	107.0
2013	8	14	111.5
2013	8	15	111.125
2013	8	16	110.41
2013	8	17	110.99000000000001
2013	8	18	113.345
2013	8	19	117.41499999999999
2013	8	20	120.26
2013	8	21	122.295
2013	8	22	122.05
2013	8	23	120.22
2013	8	24	119.705
2013	8	25	121.08
2013	8	26	121.345
2013	8	27	123.655
2013	8	28	124.97
2013	8	29	122.955
2013	8	30	128.37
2013	8	31	136.805
2013	9	1	140.31
2013	9	2	140.695
2013	9	3	135.67000000000002
2013	9	4	134.055
2013	9	5	126.63499999999999
2013	9	6	123.245
2013	9	7	122.19999999999999
2013	9	8	122.60499999999999
2013	9	9	124.405
2013	9	10	127.82000000000001
2013	9	11	130.55
2013	9	12	133.945
2013	9	13	134.925
2013	9	14	132.36
2013	9	15	129.85
2013	9	16	131.245
2013	9	17	128.825
2013	9	18	131.87
2013	9	19	130.11
2013	9	20	131.15
2013	9	21	127.42500000000001
2013	9	22	130.265
2013	9	23	129.195
2013	9	24	126.425
2013	9	25	128.51
2013	9	26	131.125
2013	9	27	131.615
2013	9	28	134.095
2013	9	29	137.66000000000003
2013	9	30	134.31
2013	10	1	133.09
2013	10	2	117.92
2013	10	3	117.725
2013	10	4	126.75
2013	10	5	129.235
2013	10	6	127.905
2013	10	7	128.315
2013	10	8	126.09
2013	10	9	128.665
2013	10	10	130.38
2013	10	11	130.725
2013	10	12	133.11
2013	10	13	136.60500000000002
2013	10	14	141.51
2013	10	15	142.26
2013	10	16	147.32999999999998
2013	10	17	144.915
2013	10	18	150.765
2013	10	19	166.58999999999997
2013	10	20	171.93
2013	10	21	179.81
2013	10	22	189.46
2013	10	23	203.0
2013	10	24	192.97
2013	10	25	183.685
2013	10	26	182.07999999999998
2013	10	27	186.51999999999998
2013	10	28	195.34
2013	10	29	201.67000000000002
2013	10	30	204.565
2013	10	31	202.015
2013	11	1	204.39
2013	11	2	204.70499999999998
2013	11	3	209.52
2013	11	4	222.475
2013	11	5	238.44
2013	11	6	253.89
