Date	Avg
Apr 28, 2013	134.04
Apr 29, 2013	140.745
Apr 30, 2013	140.49
May 01, 2013	123.80499999999999
May 02, 2013	108.94
May 03, 2013	93.615
May 04, 2013	103.75
May 05, 2013	112.97
May 06, 2013	115.65
May 07, 2013	105.57
May 08, 2013	112.69
May 09, 2013	111.36
May 10, 2013	116.775
May 11, 2013	115.845
May 12, 2013	115.445
May 13, 2013	116.6
May 14, 2013	115.025
May 15, 2013	109.655
May 16, 2013	115.48
May 17, 2013	120.935
May 18, 2013	123.775
May 19, 2013	122.035
May 20, 2013	121.87
May 21, 2013	122.10499999999999
May 22, 2013	123.0
May 23, 2013	125.015
May 24, 2013	129.785
May 25, 2013	131.06
May 26, 2013	133.31
May 27, 2013	130.085
May 28, 2013	128.09
May 29, 2013	130.125
May 30, 2013	129.625
May 31, 2013	128.15
Jun 01, 2013	128.49
Jun 02, 2013	122.225
Jun 03, 2013	119.25
Jun 04, 2013	121.47
Jun 05, 2013	121.685
Jun 06, 2013	120.175
Jun 07, 2013	112.71000000000001
Jun 08, 2013	109.36
Jun 09, 2013	98.745
Jun 10, 2013	102.55
Jun 11, 2013	106.8
Jun 12, 2013	109.26
Jun 13, 2013	105.41499999999999
Jun 14, 2013	101.35
Jun 15, 2013	100.85
Jun 16, 2013	100.275
Jun 17, 2013	100.60499999999999
Jun 18, 2013	106.07
Jun 19, 2013	107.995
Jun 20, 2013	110.9
Jun 21, 2013	111.34
Jun 22, 2013	108.735
Jun 23, 2013	107.515
Jun 24, 2013	104.655
Jun 25, 2013	103.74000000000001
Jun 26, 2013	104.14
Jun 27, 2013	102.55
Jun 28, 2013	97.035
Jun 29, 2013	96.495
Jun 30, 2013	96.17
Jul 01, 2013	91.97999999999999
Jul 02, 2013	89.905
Jul 03, 2013	83.98
Jul 04, 2013	77.555
Jul 05, 2013	72.765
Jul 06, 2013	70.91
Jul 07, 2013	70.59
Jul 08, 2013	76.3
Jul 09, 2013	75.41
Jul 10, 2013	81.6
Jul 11, 2013	87.68
Jul 12, 2013	96.08500000000001
Jul 13, 2013	93.155
Jul 14, 2013	95.78
Jul 15, 2013	97.505
Jul 16, 2013	98.0
Jul 17, 2013	98.075
Jul 18, 2013	92.5
Jul 19, 2013	91.5
Jul 20, 2013	91.185
Jul 21, 2013	89.975
Jul 22, 2013	91.03999999999999
Jul 23, 2013	94.21
Jul 24, 2013	94.495
Jul 25, 2013	95.6
Jul 26, 2013	96.735
Jul 27, 2013	95.0
Jul 28, 2013	97.28999999999999
Jul 29, 2013	100.47999999999999
Jul 30, 2013	104.22999999999999
Jul 31, 2013	107.61
Aug 01, 2013	105.505
Aug 02, 2013	104.60499999999999
Aug 03, 2013	103.89
Aug 04, 2013	104.735
Aug 05, 2013	106.38499999999999
Aug 06, 2013	106.47
Aug 07, 2013	106.75
Aug 08, 2013	104.005
Aug 09, 2013	103.845
Aug 10, 2013	103.155
Aug 11, 2013	103.975
Aug 12, 2013	105.75
Aug 13, 2013	107.0
Aug 14, 2013	111.5
Aug 15, 2013	111.125
Aug 16, 2013	110.41
Aug 17, 2013	110.99000000000001
Aug 18, 2013	113.345
Aug 19, 2013	117.41499999999999
Aug 20, 2013	120.26
Aug 21, 2013	122.295
Aug 22, 2013	122.05
Aug 23, 2013	120.22
Aug 24, 2013	119.705
Aug 25, 2013	121.08
Aug 26, 2013	121.345
Aug 27, 2013	123.655
Aug 28, 2013	124.97
Aug 29, 2013	122.955
Aug 30, 2013	128.37
Aug 31, 2013	136.805
Sep 01, 2013	140.31
Sep 02, 2013	140.695
Sep 03, 2013	135.67000000000002
Sep 04, 2013	134.055
Sep 05, 2013	126.63499999999999
Sep 06, 2013	123.245
Sep 07, 2013	122.19999999999999
Sep 08, 2013	122.60499999999999
Sep 09, 2013	124.405
Sep 10, 2013	127.82000000000001
Sep 11, 2013	130.55
Sep 12, 2013	133.945
Sep 13, 2013	134.925
Sep 14, 2013	132.36
Sep 15, 2013	129.85
Sep 16, 2013	131.245
Sep 17, 2013	128.825
Sep 18, 2013	131.87
Sep 19, 2013	130.11
Sep 20, 2013	131.15
