,Date,Open
0,"Apr 26, 2018","8,867.32"
1,"Apr 25, 2018","9,701.03"
2,"Apr 24, 2018","8,934.34"
3,"Apr 23, 2018","8,794.39"
4,"Apr 22, 2018","8,925.06"
5,"Apr 21, 2018","8,848.79"
6,"Apr 20, 2018","8,286.88"
7,"Apr 19, 2018","8,159.27"
8,"Apr 18, 2018","7,944.43"
9,"Apr 17, 2018","8,071.66"
10,"Apr 16, 2018","8,337.57"
11,"Apr 15, 2018","7,999.33"
12,"Apr 14, 2018","7,874.67"
13,"Apr 13, 2018","7,901.09"
14,"Apr 12, 2018","6,955.38"
15,"Apr 11, 2018","6,843.47"
16,"Apr 10, 2018","6,795.44"
17,"Apr 09, 2018","7,044.32"
18,"Apr 08, 2018","6,919.98"
19,"Apr 07, 2018","6,630.51"
20,"Apr 06, 2018","6,815.96"
21,"Apr 05, 2018","6,848.65"
22,"Apr 04, 2018","7,456.41"
23,"Apr 03, 2018","7,102.26"
24,"Apr 02, 2018","6,844.86"
25,"Apr 01, 2018","7,003.06"
26,"Mar 31, 2018","6,892.48"
27,"Mar 30, 2018","7,171.45"
28,"Mar 29, 2018","7,979.07"
29,"Mar 28, 2018","7,836.83"
30,"Mar 27, 2018","8,200.00"
31,"Mar 26, 2018","8,498.47"
32,"Mar 25, 2018","8,612.81"
33,"Mar 24, 2018","8,901.95"
34,"Mar 23, 2018","8,736.25"
35,"Mar 22, 2018","8,939.44"
36,"Mar 21, 2018","8,937.48"
37,"Mar 20, 2018","8,619.67"
38,"Mar 19, 2018","8,344.12"
39,"Mar 18, 2018","7,890.52"
40,"Mar 17, 2018","8,321.91"
41,"Mar 16, 2018","8,322.91"
42,"Mar 15, 2018","8,290.76"
43,"Mar 14, 2018","9,214.65"
44,"Mar 13, 2018","9,173.04"
45,"Mar 12, 2018","9,602.93"
46,"Mar 11, 2018","8,852.78"
47,"Mar 10, 2018","9,350.59"
48,"Mar 09, 2018","9,414.69"
49,"Mar 08, 2018","9,951.44"
50,"Mar 07, 2018","10,803.90"
51,"Mar 06, 2018","11,500.10"
52,"Mar 05, 2018","11,532.40"
53,"Mar 04, 2018","11,497.40"
54,"Mar 03, 2018","11,101.90"
55,"Mar 02, 2018","10,977.40"
56,"Mar 01, 2018","10,385.00"
57,"Feb 28, 2018","10,687.20"
58,"Feb 27, 2018","10,393.90"
59,"Feb 26, 2018","9,669.43"
60,"Feb 25, 2018","9,796.42"
61,"Feb 24, 2018","10,287.70"
62,"Feb 23, 2018","9,937.07"
63,"Feb 22, 2018","10,660.40"
64,"Feb 21, 2018","11,372.20"
65,"Feb 20, 2018","11,231.80"
